Source	Target	Edge_Attr	Mapped_Edge_Attr
Glycosphingolipid metabolism	Metabolism of carbohydrates	2	1.21428571428571
Glycosphingolipid metabolism	Sphingolipid metabolism	5	1.85714285714286
Glycosphingolipid metabolism	Platelet activation, signaling and aggregation	1	1
Glycosphingolipid metabolism	MHC class II antigen presentation	1	1
Post-translational protein phosphorylation	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	7	2.28571428571429
Post-translational protein phosphorylation	Plasma lipoprotein clearance	1	1
Post-translational protein phosphorylation	Plasma lipoprotein assembly, remodeling, and clearance	1	1
Post-translational protein phosphorylation	Platelet Aggregation (Plug Formation)	1	1
Post-translational protein phosphorylation	Regulation of Complement cascade	1	1
Post-translational protein phosphorylation	Signaling by MET	2	1.21428571428571
Post-translational protein phosphorylation	Complement cascade	1	1
Post-translational protein phosphorylation	Platelet activation, signaling and aggregation	1	1
Post-translational protein phosphorylation	Cell surface interactions at the vascular wall	1	1
Post-translational protein phosphorylation	Retinoid metabolism and transport	1	1
Post-translational protein phosphorylation	Metabolism of fat-soluble vitamins	1	1
Post-translational protein phosphorylation	Syndecan interactions	1	1
Post-translational protein phosphorylation	Plasma lipoprotein assembly	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Plasma lipoprotein clearance	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Plasma lipoprotein assembly, remodeling, and clearance	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Platelet Aggregation (Plug Formation)	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Regulation of Complement cascade	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Signaling by MET	2	1.21428571428571
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Complement cascade	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Platelet activation, signaling and aggregation	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Cell surface interactions at the vascular wall	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Retinoid metabolism and transport	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Metabolism of fat-soluble vitamins	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Syndecan interactions	1	1
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	Plasma lipoprotein assembly	1	1
Chondroitin sulfate/dermatan sulfate metabolism	Hyaluronan uptake and degradation	2	1.21428571428571
Chondroitin sulfate/dermatan sulfate metabolism	Hyaluronan metabolism	2	1.21428571428571
Chondroitin sulfate/dermatan sulfate metabolism	Metabolism of carbohydrates	5	1.85714285714286
Chondroitin sulfate/dermatan sulfate metabolism	Sphingolipid metabolism	2	1.21428571428571
Chondroitin sulfate/dermatan sulfate metabolism	Heparan sulfate/heparin (HS-GAG) metabolism	3	1.42857142857143
Chondroitin sulfate/dermatan sulfate metabolism	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
Chondroitin sulfate/dermatan sulfate metabolism	Dermatan sulfate biosynthesis	2	1.21428571428571
Chondroitin sulfate/dermatan sulfate metabolism	Retinoid metabolism and transport	1	1
Chondroitin sulfate/dermatan sulfate metabolism	Metabolism of fat-soluble vitamins	1	1
Chondroitin sulfate/dermatan sulfate metabolism	Chondroitin sulfate biosynthesis	2	1.21428571428571
Chondroitin sulfate/dermatan sulfate metabolism	HS-GAG degradation	1	1
Platelet Adhesion to exposed collagen	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Platelet Adhesion to exposed collagen	Signaling by MET	2	1.21428571428571
Platelet Adhesion to exposed collagen	Platelet activation, signaling and aggregation	3	1.42857142857143
Platelet Adhesion to exposed collagen	Cell surface interactions at the vascular wall	3	1.42857142857143
Platelet Adhesion to exposed collagen	GPVI-mediated activation cascade	3	1.42857142857143
Platelet Adhesion to exposed collagen	GP1b-IX-V activation signalling	2	1.21428571428571
Platelet Adhesion to exposed collagen	Anchoring fibril formation	2	1.21428571428571
Platelet Adhesion to exposed collagen	Crosslinking of collagen fibrils	2	1.21428571428571
Plasma lipoprotein clearance	Plasma lipoprotein assembly, remodeling, and clearance	4	1.64285714285714
Plasma lipoprotein clearance	Retinoid metabolism and transport	1	1
Plasma lipoprotein clearance	Metabolism of fat-soluble vitamins	1	1
Plasma lipoprotein clearance	LDL clearance	2	1.21428571428571
Plasma lipoprotein clearance	Plasma lipoprotein assembly	2	1.21428571428571
Trafficking and processing of endosomal TLR	MHC class II antigen presentation	3	1.42857142857143
Hyaluronan uptake and degradation	Hyaluronan metabolism	3	1.42857142857143
Hyaluronan uptake and degradation	Metabolism of carbohydrates	3	1.42857142857143
Hyaluronan uptake and degradation	Sphingolipid metabolism	2	1.21428571428571
Hyaluronan uptake and degradation	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Hyaluronan uptake and degradation	HS-GAG degradation	1	1
Plasma lipoprotein assembly, remodeling, and clearance	Platelet activation, signaling and aggregation	1	1
Plasma lipoprotein assembly, remodeling, and clearance	Retinoid metabolism and transport	1	1
Plasma lipoprotein assembly, remodeling, and clearance	Metabolism of fat-soluble vitamins	1	1
Plasma lipoprotein assembly, remodeling, and clearance	LDL clearance	2	1.21428571428571
Plasma lipoprotein assembly, remodeling, and clearance	Signaling by PDGF	1	1
Plasma lipoprotein assembly, remodeling, and clearance	Plasma lipoprotein assembly	2	1.21428571428571
Platelet Aggregation (Plug Formation)	Regulation of Complement cascade	1	1
Platelet Aggregation (Plug Formation)	Signaling by MET	3	1.42857142857143
Platelet Aggregation (Plug Formation)	Complement cascade	1	1
Platelet Aggregation (Plug Formation)	Platelet activation, signaling and aggregation	4	1.64285714285714
Platelet Aggregation (Plug Formation)	Cell surface interactions at the vascular wall	4	1.64285714285714
Platelet Aggregation (Plug Formation)	GPVI-mediated activation cascade	2	1.21428571428571
Platelet Aggregation (Plug Formation)	GP1b-IX-V activation signalling	2	1.21428571428571
Platelet Aggregation (Plug Formation)	Anchoring fibril formation	2	1.21428571428571
Platelet Aggregation (Plug Formation)	Crosslinking of collagen fibrils	2	1.21428571428571
Platelet Aggregation (Plug Formation)	Syndecan interactions	1	1
Regulation of Complement cascade	Complement cascade	4	1.64285714285714
Regulation of Complement cascade	Platelet activation, signaling and aggregation	1	1
Regulation of Complement cascade	Cell surface interactions at the vascular wall	1	1
Regulation of Complement cascade	Syndecan interactions	1	1
Metabolism of steroid hormones	Phase I - Functionalization of compounds	2	1.21428571428571
Metabolism of steroid hormones	Pregnenolone biosynthesis	2	1.21428571428571
Metabolism of steroid hormones	Biological oxidations	2	1.21428571428571
Hyaluronan metabolism	Metabolism of carbohydrates	3	1.42857142857143
Hyaluronan metabolism	Sphingolipid metabolism	2	1.21428571428571
Hyaluronan metabolism	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Hyaluronan metabolism	HS-GAG degradation	1	1
Signaling by MET	Platelet activation, signaling and aggregation	3	1.42857142857143
Signaling by MET	Cell surface interactions at the vascular wall	3	1.42857142857143
Signaling by MET	GPVI-mediated activation cascade	2	1.21428571428571
Signaling by MET	GP1b-IX-V activation signalling	2	1.21428571428571
Signaling by MET	Anchoring fibril formation	2	1.21428571428571
Signaling by MET	Crosslinking of collagen fibrils	2	1.21428571428571
Signaling by MET	Syndecan interactions	1	1
Metabolism of carbohydrates	Sphingolipid metabolism	2	1.21428571428571
Metabolism of carbohydrates	Heparan sulfate/heparin (HS-GAG) metabolism	4	1.64285714285714
Metabolism of carbohydrates	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
Metabolism of carbohydrates	Keratan sulfate biosynthesis	3	1.42857142857143
Metabolism of carbohydrates	Dermatan sulfate biosynthesis	2	1.21428571428571
Metabolism of carbohydrates	Retinoid metabolism and transport	1	1
Metabolism of carbohydrates	Metabolism of fat-soluble vitamins	1	1
Metabolism of carbohydrates	Chondroitin sulfate biosynthesis	2	1.21428571428571
Metabolism of carbohydrates	HS-GAG degradation	2	1.21428571428571
Complement cascade	Platelet activation, signaling and aggregation	1	1
Complement cascade	Cell surface interactions at the vascular wall	1	1
Complement cascade	Syndecan interactions	1	1
Sphingolipid metabolism	Platelet activation, signaling and aggregation	1	1
Sphingolipid metabolism	MHC class II antigen presentation	1	1
Heparan sulfate/heparin (HS-GAG) metabolism	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
Heparan sulfate/heparin (HS-GAG) metabolism	Dermatan sulfate biosynthesis	2	1.21428571428571
Heparan sulfate/heparin (HS-GAG) metabolism	Retinoid metabolism and transport	1	1
Heparan sulfate/heparin (HS-GAG) metabolism	Metabolism of fat-soluble vitamins	1	1
Heparan sulfate/heparin (HS-GAG) metabolism	Chondroitin sulfate biosynthesis	2	1.21428571428571
Heparan sulfate/heparin (HS-GAG) metabolism	HS-GAG degradation	2	1.21428571428571
A tetrasaccharide linker sequence is required for GAG synthesis	Dermatan sulfate biosynthesis	2	1.21428571428571
A tetrasaccharide linker sequence is required for GAG synthesis	Retinoid metabolism and transport	1	1
A tetrasaccharide linker sequence is required for GAG synthesis	Metabolism of fat-soluble vitamins	1	1
A tetrasaccharide linker sequence is required for GAG synthesis	Chondroitin sulfate biosynthesis	2	1.21428571428571
A tetrasaccharide linker sequence is required for GAG synthesis	HS-GAG degradation	1	1
Platelet activation, signaling and aggregation	Cell surface interactions at the vascular wall	5	1.85714285714286
Platelet activation, signaling and aggregation	GPVI-mediated activation cascade	3	1.42857142857143
Platelet activation, signaling and aggregation	GP1b-IX-V activation signalling	2	1.21428571428571
Platelet activation, signaling and aggregation	Anchoring fibril formation	2	1.21428571428571
Platelet activation, signaling and aggregation	Crosslinking of collagen fibrils	2	1.21428571428571
Platelet activation, signaling and aggregation	Syndecan interactions	1	1
Platelet activation, signaling and aggregation	Signaling by PDGF	1	1
Phase I - Functionalization of compounds	Pregnenolone biosynthesis	2	1.21428571428571
Phase I - Functionalization of compounds	Biological oxidations	5	1.85714285714286
MHC class II antigen presentation	Metabolism of Angiotensinogen to Angiotensins	1	1
Cell surface interactions at the vascular wall	GPVI-mediated activation cascade	3	1.42857142857143
Cell surface interactions at the vascular wall	GP1b-IX-V activation signalling	2	1.21428571428571
Cell surface interactions at the vascular wall	Anchoring fibril formation	2	1.21428571428571
Cell surface interactions at the vascular wall	Crosslinking of collagen fibrils	2	1.21428571428571
Cell surface interactions at the vascular wall	Syndecan interactions	1	1
Dermatan sulfate biosynthesis	Chondroitin sulfate biosynthesis	2	1.21428571428571
GPVI-mediated activation cascade	GP1b-IX-V activation signalling	2	1.21428571428571
GPVI-mediated activation cascade	Anchoring fibril formation	2	1.21428571428571
GPVI-mediated activation cascade	Crosslinking of collagen fibrils	2	1.21428571428571
GP1b-IX-V activation signalling	Anchoring fibril formation	2	1.21428571428571
GP1b-IX-V activation signalling	Crosslinking of collagen fibrils	2	1.21428571428571
Pregnenolone biosynthesis	Biological oxidations	2	1.21428571428571
Anchoring fibril formation	Crosslinking of collagen fibrils	2	1.21428571428571
Apoptosis induced DNA fragmentation	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	2	1.21428571428571
Apoptosis induced DNA fragmentation	Apoptotic execution phase	2	1.21428571428571
Retinoid metabolism and transport	Metabolism of fat-soluble vitamins	3	1.42857142857143
Retinoid metabolism and transport	HS-GAG degradation	1	1
Retinoid metabolism and transport	Plasma lipoprotein assembly	1	1
Metabolism of fat-soluble vitamins	HS-GAG degradation	1	1
Metabolism of fat-soluble vitamins	Plasma lipoprotein assembly	1	1
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	Apoptotic execution phase	2	1.21428571428571
NCAM1 interactions	Signaling by PDGF	2	1.21428571428571
